,ghb,Gossypium herbaceum,Angiosperm,Dicotyledon
gohi,ghr,Gossypium hirsutum,Angiosperm,Dicotyledon
gora,gra,Gossypium raimondii,Angiosperm,Dicotyledon
hean,han,Helianthus annuus,Angiosperm,Dicotyledon
,har,Helianthus argophyllus,Angiosperm,Dicotyledon
,hci,Helianthus ciliaris,Angiosperm,Dicotyledon
,hex,Helianthus exilis,Angiosperm,Dicotyledon
,hpa,Helianthus paradoxus,Angiosperm,Dicotyledon
,hpe,Helianthus petiolaris,Angiosperm,Dicotyledon
,htu,Helianthus tuberosus,Angiosperm,Dicotyledon
hefu,hfu,Hemerocallis fulva,Angiosperm,Monocotyledon
hebr,hbr,Hevea brasiliensis,Angiosperm,Dicotyledon
hisy,hsy,Hibiscus syriacus,Angiosperm,Dicotyledon
hovu,hvu,Hordeum vulgare,Angiosperm,Monocotyledon
hulu,hlu,Humulus lupulus,Angiosperm,Dicotyledon
ipba,iba,Ipomoea batatas,Angiosperm,Dicotyledon
jacu,jcu,Jatropha curcas,Angiosperm,Dicotyledon
jure,jre,Juglans regia,Angiosperm,Dicotyledon
kama,kma,Kalanchoe marnieriana,Angiosperm,Dicotyledon
lasa,lsa,Lactuca sativa,Angiosperm,Dicotyledon
lasi,lsi,Lagenaria siceraria,Angiosperm,Dicotyledon
lius,lus,Linum usitatissimum,Angiosperm,Dicotyledon
lope,lpe,Lolium perenne,Angiosperm,Monocotyledon
loja,lja,Lotus japonicus,Angiosperm,Dicotyledon
luan,lan,Lupinus angustifolius,Angiosperm,Dicotyledon
,min,Macadamia integrifolia,Angiosperm,Dicotyledon
mado,mdm,Malus domestica,Angiosperm,Dicotyledon
masi,msi,Malus sieversii,Angiosperm,Dicotyledon
,mid,Mangifera indica,Angiosperm,Dicotyledon
maes,mes,Manihot esculenta,Angiosperm,Dicotyledon
mapo,mpo,Marchantia polymorpha,Others,Others
meru,mru,Medicago ruthenica,Angiosperm,Dicotyledon
mesa,msa,Medicago sativa,Angiosperm,Dicotyledon
metr,mtr,Medicago truncatula,Angiosperm,Dicotyledon
misi,msn,Miscanthus sinensis,Angiosperm,Monocotyledon
mool,mol,Moringa oleifera,Angiosperm,Dicotyledon
moal,mal,Morus alba,Angiosperm,Dicotyledon
mono,mno,Morus notabilis,Angiosperm,Dicotyledon
muac,mac,Musa acuminata,Angiosperm,Monocotyledon
nenu,nnu,Nelumbo nucifera,Angiosperm,Dicotyledon
niat,nat,Nicotiana attenuata,Angiosperm,Dicotyledon
nibe,nbe,Nicotiana benthamiana,Angiosperm,Dicotyledon
nita,nta,Nicotiana tabacum,Angiosperm,Dicotyledon
oleu,oeu,Olea europaea,Angiosperm,Olea europaea
onvi,ovi,Onobrychis viciifolia,Angiosperm,Dicotyledon
orba,oba,Oryza barthii,Angiosperm,Monocotyledon
orgl,ogl,Oryza glaberrima,Angiosperm,Monocotyledon
orni,oni,Oryza nivara,Angiosperm,Monocotyledon
orru,oru,Oryza rufipogon,Angiosperm,Monocotyledon
orsa,osa,Oryza sativa,Angiosperm,Monocotyledon
,pla,Paeonia lactiflora,Angiosperm,Dicotyledon
,pgi,Panax ginseng,Angiosperm,Dicotyledon
pano,pno,Panax notoginseng,Angiosperm,Dicotyledon
,pha,Panicum hallii,Angiosperm,Monocotyledon
pavi,pvi,Panicum virgatum,Angiosperm,Monocotyledon
peam,pam,Persea americana,Angiosperm,Dicotyledon
pham,paa,Phalaenopsis amabilis,Angiosperm,Monocotyledon
phap,pap,Phalaenopsis aphrodite,Angiosperm,Monocotyledon
phvu,pvu,Phaseolus vulgaris,Angiosperm,Dicotyledon
phda,pda,Phoenix dactylifera,Angiosperm,Monocotyledon
phau,pau,Phyllostachys aureosulcata,Angiosperm,Monocotyledon
phhe,phe,Phyllostachys heterocycla,Angiosperm,Monocotyledon
phpa,ppt,Physcomitrella patens,Others,Others
piab,pab,Picea abies,Gymnosperm,Others
,pde,Pinus densata,Gymnosperm,Others
pima,pma,Pinus massoniana,Gymnosperm,Others
pipi,ppi,Pinus pinaster,Gymnosperm,Others
,pta,Pinus taeda,Gymnosperm,Others
pini,pni,Piper nigrum,Angiosperm,Dicotyledon
pisa,psa,Pisum sativum,Angiosperm,Dicotyledon
poca,pca,Pogostemon cablin,Angiosperm,Dicotyledon
poal,pal,Populus alba,Angiosperm,Dicotyledon
pode,pdl,Populus deltoides ,Angiosperm,Dicotyledon
,peu,Populus euphratica,Angiosperm,Dicotyledon
,ptr,Populus tremula,Angiosperm,Dicotyledon
potr,ptc,Populus trichocarpa,Angiosperm,Dicotyledon
prav,pav,Prunus avium,Angiosperm,Dicotyledon
prdu,pdu,Prunus dulcis,Angiosperm,Dicotyledon
prpe,ppe,Prunus persica,Angiosperm,Dicotyledon
pugr,pgr,Punica granatum,Angiosperm,Dicotyledon
pybr,pbr,Pyrus bretschneideri,Angiosperm,Dicotyledon
,qro,Quercus robur,Gymnosperm,Others
rasa,rsa,Raphanus sativus,Angiosperm,Dicotyledon
,rgl,Rehmannia glutinosa,Angiosperm,Dicotyledon
rhbi,rbi,Rhaphiolepis bibas,Angiosperm,Dicotyledon
rico,rco,Ricinus communis,Angiosperm,Dicotyledon
sahy,scu,Saccharum hybrid cultivar,Angiosperm,Monocotyledon
,sof,Saccharum officinarum,Angiosperm,Monocotyledon
sasp,ssp,Saccharum spontaneum,Angiosperm,Monocotyledon
,seu,Salicornia europaea,Angiosperm,Dicotyledon
sami,smi,Salvia miltiorrhiza,Angiosperm,Dicotyledon
,ssl,Salvia sclarea,Angiosperm,Dicotyledon
,scc,Salvinia cucullata,Others,Others
semo,smo,Selaginella moellendorffii,Others,Others
sein,sin,Sesamum indicum,Angiosperm,Dicotyledon
seit,sit,Setaria italica,Angiosperm,Monocotyledon
,sla,Silene latifolia,Angiosperm,Dicotyledon
soaj,saj,Solanum ajanhuiri,Angiosperm,Dicotyledon
,sha,Solanum habrochaites,Angiosperm,Dicotyledon
soly,sly,Solanum lycopersicum,Angiosperm,Dicotyledon
some,sme,Solanum melongena,Angiosperm,Dicotyledon
sope,spe,Solanum pennellii,Angiosperm,Dicotyledon
sopi,spi,Solanum pimpinellifolium,Angiosperm,Dicotyledon
sotu,stu,Solanum tuberosum,Angiosperm,Dicotyledon
sobi,sbi,Sorghum bicolor,Angiosperm,Monocotyledon
spol,sol,Spinacia oleracea,Angiosperm,Dicotyledon
sppo,spo,Spirodela polyrhiza,Angiosperm,Monocotyledon
taha,tha,Tarenaya hassleriana,Angiosperm,Dicotyledon
thca,tcc,Theobroma cacao,Angiosperm,Dicotyledon
trae,tae,Triticum aestivum,Angiosperm,Monocotyledon
trtu,ttu,Triticum turgidum,Angiosperm,Monocotyledon
trur,tur,Triticum urartu,Angiosperm,Monocotyledon
vaco,vco,Vaccinium corymbosum,Angiosperm,Dicotyledon
visa,vsa,Vicia sativa,Angiosperm,Dicotyledon
vira,vra,Vigna radiata,Angiosperm,Dicotyledon
,vun,Vigna unguiculata,Angiosperm,Dicotyledon
viri,vri,Vitis riparia,Angiosperm,Dicotyledon
vivi,vvi,Vitis vinifera,Angiosperm,Dicotyledon
,vca,Volvox carteri,Others,Others
,vcr,Vriesea carinata,Angiosperm,Monocotyledon
zema,zma,Zea mays,Angiosperm,Monocotyledon
ziju,zju,Ziziphus jujuba,Angiosperm,Dicotyledon
zoma,zos,Zostera marina,Angiosperm,Monocotyledon
